# A. Ravlić, Y. Saito, and W. Nazarewicz in preparation (2025).
# Calculations with axially-deformed RHB+pnQRPA using the DD-PC1 interaction (ver1.0).
# Generated: 2025-11-03 07:18:58
#
# Columns:
#   N          : Neutron number.
#   Z          : Proton number.
#   E(beta)    : Binding energy (MeV) for the min-E configuration
#   beta2      : Mass quadrupole deformation beta2 (dimensionless) at min-E.
#   Q          : beta- Q-value (MeV).
#   HL_log10   : log10 of the total half-life (log10 seconds).
#   FF_percent : % contribution of first-forbidden (FF) transitions to the total decay rate,
#
# N Z E(beta) beta2 Q HL_log10 FF_percent
44 31 -650.76878000 0.18286221 2.51679000 4.451384 0.00
45 31 -657.92278000 0.19309882 4.47844000 3.164420 1.77
46 31 -665.58504000 0.19647597 4.47418000 2.528119 0.57
47 31 -671.75118000 0.18635327 6.59246000 2.052187 8.77
48 31 -678.19932000 0.17016293 6.93688000 1.399848 22.76
49 31 -683.25549000 0.12571957 8.96456000 1.228628 60.02
50 31 -689.33474000 -0.00766669 8.30248000 1.211877 96.36
51 31 -692.18038000 0.13873324 12.15516000 -0.057518 31.59
52 31 -696.30446000 0.18503100 11.16511000 -0.521954 2.49
53 31 -699.15917000 0.20666690 12.84346000 -0.935073 12.86
54 31 -702.99307000 0.21881841 12.36855000 -1.216762 8.49
55 31 -705.49579000 0.23421382 14.23976000 -1.373568 16.99
56 31 -708.94901000 0.24384422 13.80509000 -1.558057 19.94
57 31 -710.79031000 0.24490717 16.00739000 -1.726426 26.77
58 31 -713.66486000 -0.25497528 15.55306000 -1.818333 32.04
59 31 -714.99970000 -0.24238948 17.54081000 -1.899658 35.16
60 31 -717.81912000 -0.24689718 16.60223000 -2.024279 32.74
61 31 -719.12674000 -0.24254141 18.40294000 -2.110171 34.62
62 31 -721.42656000 -0.23555544 17.82107000 -2.208903 35.38
63 31 -722.53382000 -0.23951862 19.40480000 -2.304802 38.25
64 31 -724.60584000 -0.23218703 18.86329000 -2.371382 38.87
65 31 -725.41523000 -0.22184615 20.52186000 -2.454608 41.82
66 31 -727.14580000 -0.23607741 19.88792000 -2.516115 42.36
67 31 -727.38846000 -0.24850970 21.92315000 -2.596117 45.17
68 31 -728.84110000 -0.21090777 21.23930000 -2.631112 44.56
69 31 -728.81252000 -0.05623401 22.87120000 -2.689725 47.23
70 31 -730.89856000 -0.00298411 21.23358000 -2.740556 49.18
71 31 -730.32719000 -0.03799389 23.47738000 -2.791666 50.32
72 31 -731.58909000 -0.00980952 22.27095000 -2.814888 50.86
73 31 -731.47578000 0.10948448 23.89099000 -2.878064 51.83
74 31 -732.60047000 0.14373953 22.95121000 -2.916664 52.24
75 31 -732.46495000 0.14818580 24.52516000 -2.974872 53.90
76 31 -733.25540000 0.15842633 23.93903000 -3.009161 54.61
77 31 -732.88998000 0.16235303 25.48833000 -3.059333 56.10
78 31 -732.97259000 0.17252150 25.40657000 -3.083094 56.60
42 32 -644.49207000 0.10747750 NaN NaN NaN
43 32 -652.50357000 0.14742030 NaN NaN NaN
44 32 -661.61922000 0.17560299 NaN NaN NaN
45 32 -669.27722000 0.18906437 NaN NaN NaN
46 32 -677.56164000 0.19230582 NaN NaN NaN
47 32 -684.35420000 0.18403575 NaN NaN NaN
48 32 -691.43805000 0.16994558 4.13930000 2.547711 35.90
49 32 -696.85522000 0.12424284 6.55489000 2.352494 83.83
50 32 -703.55354000 0.00044374 5.69707000 2.202405 99.99
51 32 -706.68757000 0.12840519 9.70577000 0.257581 29.01
52 32 -711.22063000 0.17651985 8.64939000 -0.382148 6.39
53 32 -714.57962000 0.20359874 10.33365000 -0.739515 10.54
54 32 -718.95355000 0.21787078 9.84596000 -1.025160 7.52
55 32 -721.97210000 0.23390884 11.70846000 -1.178098 13.34
56 32 -726.01570000 0.24436285 11.13199000 -1.350028 13.13
57 32 -728.43592000 0.24521641 13.31879000 -1.515309 17.85
58 32 -731.75851000 -0.25812946 12.93931000 -1.586172 23.40
59 32 -733.63935000 -0.28389453 14.95832000 -1.734421 32.77
60 32 -736.74768000 -0.25637497 14.21364000 -1.828679 25.50
61 32 -738.46563000 -0.26108785 16.00311000 -1.953635 29.91
62 32 -741.15662000 -0.24770083 15.47380000 -2.031223 28.13
63 32 -742.68713000 -0.24286893 17.02712000 -2.135239 31.57
